feature,mean_abs_shap
Rolandic_Oper_L,0.021624324759514098
Cerebellum_3_L,0.02109844134515139
Cerebellum_9_L,0.017009016403944362
Temporal_Inf_L,0.016201564310288866
Rectus_R,0.015580132659699415
Hippocampus_L,0.0143688378583877
Parietal_Inf_R,0.013345655638003062
SN_pr_L,0.013176008916721483
Cerebellum_Crus2_R,0.012294909757908182
Thal_MDl_L,0.012124817259085676
Thal_VL_R,0.011999299940819034
Amygdala_L,0.011978428891190206
Red_N_L,0.011760432596576425
Thal_LP_L,0.011291269544716634
Parietal_Sup_R,0.011128818158058497
Temporal_Pole_Mid_R,0.010993197913389862
Frontal_Inf_Oper_R,0.010802791653547278
Pallidum_L,0.010751131657966984
Cerebellum_8_L,0.01062362014132502
Thal_PuL_R,0.010485685625308327
Occipital_Inf_L,0.010414930729514492
Temporal_Inf_R,0.010335956617762366
Frontal_Mid_2_R,0.01027201573434414
Thal_VPL_L,0.0101118245493284
Thal_AV_L,0.010022186329992704
Frontal_Inf_Tri_R,0.009905634259332137
Cingulate_Mid_R,0.009860707649324023
Angular_R,0.009833576565013184
Occipital_Inf_R,0.0098125976673817
Postcentral_R,0.009606563421517202
SN_pc_L,0.009602631425152903
Thal_PuM_R,0.00948430307510492
Cerebellum_Crus1_R,0.009394136301979215
Cerebellum_10_L,0.009370547209527319
Frontal_Inf_Oper_L,0.009369964954611664
Frontal_Inf_Tri_L,0.009246674194568245
Precuneus_R,0.009208459148118447
Cerebellum_6_L,0.00900290418716385
Cerebellum_4_5_L,0.008917735348524943
Thal_PuM_L,0.008855179972534771
Thal_PuA_L,0.008838745477880714
Cerebellum_9_R,0.00881026604645386
Insula_R,0.008808226299803861
Putamen_L,0.008734311928606743
Heschl_L,0.008601057306698872
ACC_sup_L,0.008556594873890858
Frontal_Med_Orb_L,0.008470416660016349
Caudate_L,0.008463263026204145
Olfactory_R,0.008432155670587842
Vermis_10,0.008430520329088205
ACC_sub_R,0.008424104709968995
Cerebellum_7b_R,0.008423630606239414
Thal_VA_L,0.00841824405818558
Vermis_3,0.008309383800068581
Precentral_R,0.00828929720809753
Thal_LP_R,0.00816961296629855
SupraMarginal_R,0.008028460168805514
SupraMarginal_L,0.008004871183920029
N_Acc_R,0.008002864116725256
Cerebellum_7b_L,0.007919689293413563
N_Acc_L,0.007832568493695334
Putamen_R,0.007783948513057895
Occipital_Sup_L,0.007650934962299483
Frontal_Inf_Orb_2_L,0.00758051034144706
Occipital_Mid_L,0.007570048797026468
OFCant_R,0.00751308657758581
Thal_PuI_R,0.007496094463122265
Insula_L,0.007298078006286382
Temporal_Pole_Mid_L,0.0070934608794968055
Thal_IL_L,0.007049173534402096
Occipital_Mid_R,0.007043992164313125
Supp_Motor_Area_L,0.00699838731797792
Thal_VA_R,0.00697551042741695
Vermis_9,0.006959632730862003
Thal_Re_R,0.006694076624824092
Caudate_R,0.006684160130916379
ACC_pre_L,0.006593884314236903
Thal_VPL_R,0.006576953457061514
Frontal_Inf_Orb_2_R,0.006522099206425107
Vermis_1_2,0.006505218893208995
Parietal_Sup_L,0.006409409725311203
Thal_PuL_L,0.006119555039760731
Fusiform_R,0.005871247027723006
Cerebellum_4_5_R,0.0058380594893912485
