region,mean_abs_shap
Insula_R,0.022790684124331693
Pallidum_R,0.01798654515498259
Olfactory_R,0.01652128475773833
Thal_VL_R,0.015990689445252153
Vermis_6,0.015558128409459913
Olfactory_L,0.015280350128027595
Temporal_Inf_R,0.014599475620818137
Hippocampus_R,0.01417006224613981
Rolandic_Oper_R,0.014133601236202097
ACC_sub_R,0.013739909369405218
Occipital_Inf_L,0.013338428014457832
Thal_AV_R,0.013281986772667582
N_Acc_R,0.013162512656116777
Thal_IL_R,0.012824177721963093
Temporal_Inf_L,0.012686699992707247
ACC_sup_L,0.012029078020849154
Fusiform_L,0.011779772576002006
Precuneus_L,0.011514877274610947
Vermis_3,0.011421338575530219
Parietal_Sup_R,0.01139956066903192
Cerebellum_6_L,0.011378154639509034
Frontal_Mid_2_L,0.011289327846173482
Cingulate_Mid_R,0.011275078807958241
Temporal_Pole_Sup_R,0.01125882809770133
Red_N_L,0.010911565452033986
Red_N_R,0.010868898315940878
Thal_MGN_R,0.010805387069350351
Frontal_Inf_Orb_2_R,0.010398244146650174
Pallidum_L,0.010224426610337055
Parietal_Inf_R,0.010049717736738581
ACC_sub_L,0.010044207162455404
Frontal_Inf_Tri_L,0.010002315854588847
Supp_Motor_Area_R,0.009974214351113876
Cerebellum_4_5_R,0.009785605726648595
Heschl_R,0.009701102848239242
Occipital_Sup_L,0.009493766521453334
Cerebellum_Crus1_R,0.009421937230178456
SN_pc_R,0.00925656198856648
Vermis_7,0.009174551823117327
Temporal_Pole_Mid_R,0.009129113266182726
Frontal_Sup_Medial_R,0.009068672953804086
Calcarine_R,0.008682454421296849
Calcarine_L,0.008668505375263131
Raphe_D,0.008633518710024718
Thal_VPL_L,0.008586703517872562
VTA_R,0.008530044258281352
LC_R,0.008514881476363298
Cuneus_L,0.008447079894346154
Vermis_8,0.008224916237428471
Frontal_Sup_Medial_L,0.00819139888542716
Cerebellum_3_L,0.007893168958508414
Postcentral_R,0.007769794184492288
Angular_L,0.007743195916365417
Cingulate_Mid_L,0.007481890982493904
Thal_LGN_R,0.007372618005524327
Cerebellum_9_L,0.007173582576169549
Frontal_Sup_2_R,0.00713499976094089
OFCpost_L,0.007083693387534326
Frontal_Inf_Oper_L,0.006987139700824238
OFClat_L,0.006901549584672668
Precentral_R,0.00683360992863124
ACC_pre_L,0.0067879891724960655
Frontal_Mid_2_R,0.006697473188656046
Insula_L,0.006647939181187216
Occipital_Inf_R,0.006530828926332178
Cerebellum_10_R,0.006501780374172012
Rectus_L,0.0063458386837004395
Occipital_Sup_R,0.006285939830760354
ParaHippocampal_L,0.006278216932093405
Thal_MDm_R,0.006123843849339284
Thal_Re_R,0.006121508948951507
Cerebellum_4_5_L,0.006101653168720411
SN_pc_L,0.006008828344673874
Parietal_Sup_L,0.005917616743244136
Cerebellum_9_R,0.005914526996853394
Thal_VL_L,0.005908317017440022
Heschl_L,0.005890673225054293
Postcentral_L,0.005881412614642707
Cerebellum_3_R,0.005848428788137758
Thal_PuA_L,0.005818486303275316
Thal_MDm_L,0.005663447799349111
Frontal_Sup_2_L,0.005573982548244405
OFCmed_L,0.005549360595645458
Cerebellum_Crus2_L,0.005432420161234696
Temporal_Mid_L,0.00539205590059424
Putamen_R,0.005257573051955621
LC_L,0.005195651197240014
Thal_LP_L,0.005193201989957016
ACC_pre_R,0.005149960802676158
Occipital_Mid_L,0.0050811796363762875
Cingulate_Post_L,0.00505332963734251
Occipital_Mid_R,0.005047362057508717
Angular_R,0.005007144154476902
Raphe_M,0.004995759831255419
OFCant_L,0.004921444719964709
Cerebellum_10_L,0.004877448916340576
Parietal_Inf_L,0.00485835530412399
Vermis_9,0.004793819571738493
Vermis_10,0.004734953411658413
ACC_sup_R,0.004700020174558627
Temporal_Pole_Sup_L,0.004693248137075876
Thal_VA_L,0.004670979237208558
VTA_L,0.004649761452828423
Cerebellum_Crus2_R,0.00463618427855688
Frontal_Inf_Tri_R,0.004574783439749068
Temporal_Sup_R,0.00449237266519025
Frontal_Inf_Orb_2_L,0.0044192265615561775
